gene,probe,log2FC,fold_change,p_value,p_adj,status
AGER,210081_at,-4.4174695309929675,0.04679604675762924,1.1500337265148704e-39,2.847355725325651e-36,Down
SPP1,209875_s_at,4.364415124273043,20.59775394763697,8.06638811477672e-39,1.1982888424104644e-35,Up
FABP4,203980_at,-3.83854131283955,0.06990108634424681,1.9638642532561494e-37,1.6831071982810298e-34,Down
CYP4B1,210096_at,-3.709796398905344,0.07642580222616742,4.493787466207068e-25,4.021488598774783e-23,Down
WIF1,204712_at,-3.6867095054025345,0.07765865303511636,6.041175257646527e-25,5.217655359152618e-23,Down
TMEM100,219230_at,-3.570312733105556,0.08418384803742994,8.539434094800653e-29,1.268561399562953e-26,Down
FCN3,205866_at,-3.503098881885994,0.08819869489374225,1.2313549815284558e-31,2.888240321410377e-29,Down
CLDN18,214135_at,-3.446411652246656,0.09173323626001055,1.5810174794680909e-31,3.631939432472935e-29,Down
FAM107A,209074_s_at,-3.3717985706576377,0.09660230539580879,6.564350549929972e-44,1.4627342330408957e-39,Down
ADH1B,209612_s_at,-3.346904757887054,0.09828364967562167,2.5225429191541457e-29,4.226302546429461e-27,Down
CLIC5,213317_at,-3.0835513684936666,0.11796645941306214,2.3191799510735222e-30,4.416947593997547e-28,Down
SFTPC,38691_s_at,-2.9895492505450356,0.1259087760106821,3.720592527745259e-18,1.2138501214604334e-16,Down
ABCA8,204719_at,-2.959909688067558,0.12852227350528594,5.548815764604042e-37,3.988524570408769e-34,Down
TNNC1,209904_at,-2.8979773258715715,0.13415964430376118,1.0299253696616749e-30,2.0490916975152767e-28,Down
MMP1,204475_at,2.862035576037652,7.2704042134028395,7.193243289328505e-16,1.6492797805010042e-14,Up
GPM6A,209470_s_at,-2.8358372182952145,0.14006445459040642,2.4698791624067625e-38,2.839997982149761e-35,Down
SPINK1,206239_s_at,2.7583995175429328,6.766451835604432,2.221420354772832e-12,2.9587513308668866e-11,Up
SCGB1A1,205725_at,-2.7574229385608717,0.14788801670911594,1.2091706154937866e-10,1.205545808726982e-09,Down
SFTPD,214199_at,-2.7166264973874004,0.1521296749302691,5.286664266953993e-23,3.3754366722216573e-21,Down
UPK3B,206658_at,-2.706312487959183,0.15322116618489978,1.5347365371788066e-29,2.6717604889027615e-27,Down
