probe,log2FC,p_value,p_adj,neg_log_padj,status,gene,mean_expr,nef_log_padj
220951_s_at,-0.005406154222730386,0.9343840695764699,0.9569481860543355,0.01911157645500156,NS,A1CF,7.7029387673644845,0.01911157645500156
217757_at,-1.3580732278888075,1.2862472271692927e-22,7.961513045281486e-21,20.099004388949176,Down,A2M,12.66677644990654,20.099004388949176
219488_at,0.002289219706541168,0.9659078545690782,0.9780943136956005,0.009619265925380377,NS,A4GALT,5.709294323672897,0.009619265925380377
221131_at,-0.057386908040112594,0.0231720378238936,0.04776968441389778,1.3208476278344081,NS,A4GNT,6.2900163814766366,1.3208476278344081
218075_at,0.10992422020337855,0.01768452787437417,0.03765905338538605,1.4241306008002408,NS,AAAS,9.082229356570094,1.4241306008002408
218434_s_at,0.45592416392681123,4.337943621426123e-06,1.921717648434161e-05,4.716310421420287,NS,AACS,8.042494933383178,4.716310421420287
205969_at,-0.34973303405278244,0.001052207691262396,0.002990986603444313,2.5241855321586653,NS,AADAC,7.571758711018695,2.5241855321586653
202851_at,-0.10577806896798059,0.02279653319621556,0.04709142015493384,1.3270582121660883,NS,AAGAB,7.7292014327102825,1.3270582121660883
205434_s_at,-0.27994381368930377,3.127154273929666e-06,1.420350156664793e-05,4.84760457648958,NS,AAK1,7.989909815971964,4.84760457648958
221599_at,-0.495923384859255,1.7096724189217383e-13,2.7173060278768255e-12,11.565861447804464,NS,AAMDC,8.051397279822435,11.565861447804464
201511_at,0.2155806192853671,9.248812987335056e-05,0.00032383925172342403,3.4896705126742242,NS,AAMP,9.195513865224301,3.4896705126742242
207225_at,0.0018460587913446957,0.9464572345237583,0.965012181969219,0.015467204243132505,NS,AANAT,6.105961561504675,0.015467204243132505
218089_at,-0.0787820810151274,0.04556303546332706,0.08613686899186843,1.0648109185528418,NS,AAR2,9.077160841056074,1.0648109185528418
201000_at,0.3403476014532032,3.551395791109905e-08,2.2957862609022925e-07,6.63906854747251,NS,AARS,10.436631250757006,6.63906854747251
202169_s_at,0.37408547499999933,0.00021036956209552964,0.0006883502132415105,3.1621905487111297,NS,AASDHPPT,9.32205785220561,3.1621905487111297
214829_at,-0.5364765075432807,1.6418245735982352e-06,7.87785895208645e-06,5.103591799216,NS,AASS,6.895048631728972,5.103591799216
209165_at,0.35455385682864105,1.8139848797761329e-09,1.4817091303537965e-08,7.829237042969734,NS,AATF,9.369984841252338,7.829237042969734
205986_at,-0.3203683550967593,2.755049467118523e-11,3.080319481977022e-10,9.511404237374848,NS,AATK,8.962175986691587,9.511404237374848
206527_at,-0.0026215030446889998,0.9591693175050986,0.973321640419241,0.011743620598542734,NS,ABAT,6.973451689859817,0.011743620598542734
203505_at,-0.45001784957705304,1.703347312387735e-07,9.807671359673359e-07,6.008434095137206,NS,ABCA1,9.034865775046727,6.008434095137206
220159_at,-0.007675022282196409,0.8912996740369813,0.9283364792262342,0.03229458349543081,NS,ABCA11P,5.943978629588784,0.03229458349543081
215465_at,0.36797106612561414,5.877349899007639e-07,3.0531681782376103e-06,5.51524927271774,NS,ABCA12,4.593816131588785,5.51524927271774
212772_s_at,-0.04830110196164483,0.2870167791030411,0.39994965222644385,0.39799467651319376,NS,ABCA2,6.894074299794391,0.39799467651319376
204343_at,-2.096063716862071,6.768214547365651e-22,3.77040311897372e-20,19.42361221398879,Down,ABCA3,9.320174476177574,19.42361221398879
210082_at,0.5730563741928218,2.2367592026868416e-06,1.049299059230966e-05,4.979100716512269,NS,ABCA4,6.843196640794395,4.979100716512269
213353_at,-0.13107358489655407,0.08302007830292865,0.1441209414789778,0.841272909484597,NS,ABCA5,6.62920715906542,0.841272909484597
217504_at,-0.6082536586600984,6.758100713575372e-19,2.4809021120362442e-17,16.605390371173655,Down,ABCA6,6.669823559467287,16.605390371173655
219577_s_at,-0.02427416906685398,0.7732728186538035,0.8441466938168427,0.07358207614765865,NS,ABCA7,7.324380239850463,0.07358207614765865
204719_at,-2.959909688067558,5.548815764604042e-37,3.988524570408769e-34,33.39918772823101,Down,ABCA8,7.839552451925235,33.39918772823101
