gene,probe,log2FC,p_adj,status,passes
PTPRC,212587_s_at,-0.6550649668613637,0.0001377607217056,Down,True
IRF1,202531_at,-0.5365912990221684,1.532113056891201e-05,NS,False
B2M,216231_s_at,-0.2007126283603018,0.0003638518918237,NS,False
HLA-C,208812_x_at,-0.1693286213476472,0.0020090753841581,NS,False
HLA-B,209140_x_at,-0.1561822034693847,0.052909549312534,NS,False
HLA-A,215313_x_at,-0.0685728257776219,0.3808881778040212,NS,False
CD8A,205758_at,-0.0422891923624213,0.7006339643932187,NS,False
PSMB9,204279_at,0.040530380021817,0.8272162734864668,NS,False
TAPBP,208829_at,0.096525786807522,0.3131293801939664,NS,False
TAP2,204769_s_at,0.1701670840077414,0.0367308296250618,NS,False
TAP1,202307_s_at,0.1766162986699484,0.2161338208672644,NS,False
PSMB8,209040_s_at,0.2506773793233616,0.0280500145759203,NS,False
STAT1,200887_s_at,0.5074442538578481,4.112118056656183e-05,NS,False
MMP12,204580_at,2.3773245891062675,2.587063353316237e-18,Up,True
MMP1,204475_at,2.862035576037652,1.6492797805010042e-14,Up,True
SPP1,209875_s_at,4.364415124273043,1.1982888424104644e-35,Up,True
